Run_Name,Model,CV_Accuracy,CV_Std,Test_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Train_Time,Is_Best_Model,Dataset_Rows,Dataset_Hash
diabetes_20260624_013016,Logistic Regression,0.91375,0.0225,0.94,0.7723809523809524,0.6837418991265145,0.7065337763012182,0.9262,0.94,0.9296345514950164,2026-06-24 01:30:28,False,,
diabetes_20260624_013016,Random Forest,0.97375,0.0061237243569579,0.995,0.9980392156862744,0.9666666666666668,0.9814728561817524,0.9950294117647058,0.995,0.9948757956839,2026-06-24 01:30:30,False,,
diabetes_20260624_013016,XGBoost,0.98625,0.0121191996435408,0.985,0.994186046511628,0.9349206349206348,0.9628569223645624,0.9852616279069768,0.985,0.9846844034573236,2026-06-24 01:30:32,True,,
diabetes_20260624_020853,Logistic Regression,0.91375,0.0225,0.94,0.7723809523809524,0.6837418991265145,0.7065337763012182,0.9262,0.94,0.9296345514950164,2026-06-24 02:08:59,False,,
diabetes_20260624_020853,Random Forest,0.97375,0.0061237243569579,0.995,0.9980392156862744,0.9666666666666668,0.9814728561817524,0.9950294117647058,0.995,0.9948757956839,2026-06-24 02:09:01,False,,
diabetes_20260624_020853,XGBoost,0.98625,0.0121191996435408,0.985,0.994186046511628,0.9349206349206348,0.9628569223645624,0.9852616279069768,0.985,0.9846844034573236,2026-06-24 02:09:02,True,,
diabetes_20260624_021950,Logistic Regression,0.91375,0.0225,0.94,0.7723809523809524,0.6837418991265145,0.7065337763012182,0.9262,0.94,0.9296345514950164,2026-06-24 02:19:55,False,,
diabetes_20260624_021950,Random Forest,0.97375,0.0061237243569579,0.995,0.9980392156862744,0.9666666666666668,0.9814728561817524,0.9950294117647058,0.995,0.9948757956839,2026-06-24 02:19:57,False,,
diabetes_20260624_021950,XGBoost,0.98625,0.0121191996435408,0.985,0.994186046511628,0.9349206349206348,0.9628569223645624,0.9852616279069768,0.985,0.9846844034573236,2026-06-24 02:19:59,True,,
diabetes_20260624_022828,Logistic Regression,0.91375,0.0225,0.94,0.7723809523809524,0.6837418991265145,0.7065337763012182,0.9262,0.94,0.9296345514950164,2026-06-24 02:28:34,False,,
diabetes_20260624_022828,Random Forest,0.97375,0.0061237243569579,0.995,0.9980392156862744,0.9666666666666668,0.9814728561817524,0.9950294117647058,0.995,0.9948757956839,2026-06-24 02:28:36,False,,
diabetes_20260624_022828,XGBoost,0.98625,0.0121191996435408,0.985,0.994186046511628,0.9349206349206348,0.9628569223645624,0.9852616279069768,0.985,0.9846844034573236,2026-06-24 02:28:37,True,,
diabetes_20260624_023248,Logistic Regression,0.8920454545454545,0.0129565389215811,0.9136363636363636,0.7866910866910866,0.6884546976354885,0.6710080980148277,0.9044139194139192,0.9136363636363636,0.8936550526857501,2026-06-24 02:32:54,False,1100.0,c1add395cd8346f10db2b66594f0f252
diabetes_20260624_023248,Random Forest,0.9704545454545452,0.0110174542214007,0.990909090909091,0.9770114942528736,0.9583333333333334,0.965873015873016,0.9915360501567398,0.990909090909091,0.9907683982683982,2026-06-24 02:32:56,False,1100.0,c1add395cd8346f10db2b66594f0f252
diabetes_20260624_023248,XGBoost,0.9806818181818182,0.0085037667881225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2026-06-24 02:32:58,True,1100.0,c1add395cd8346f10db2b66594f0f252
diabetes_20260707_233147,Logistic Regression,0.9137500000000001,0.02250000000000002,0.94,0.7723809523809524,0.6837418991265145,0.7065337763012182,0.9261999999999999,0.94,0.9296345514950165,2026-07-07 23:32:08,False,1000.0,f0055f8a2130d237053ca2a1d922037a
diabetes_20260707_233147,Random Forest,0.9737499999999999,0.006123724356957924,0.995,0.9980392156862745,0.9666666666666667,0.9814728561817523,0.9950294117647058,0.995,0.9948757956839,2026-07-07 23:32:10,False,1000.0,f0055f8a2130d237053ca2a1d922037a
diabetes_20260707_233147,XGBoost,0.9862500000000001,0.012119199643540829,0.985,0.9941860465116279,0.9349206349206348,0.9628569223645624,0.9852616279069767,0.985,0.9846844034573237,2026-07-07 23:32:14,True,1000.0,f0055f8a2130d237053ca2a1d922037a
